380,0.0014,0.0000,0.0065,380,0.0002,0.0000,0.0007
385,0.0022,0.0001,0.0105,385,0.0007,0.0001,0.0029
390,0.0042,0.0001,0.0201,390,0.0024,0.0003,0.0105
395,0.0076,0.0002,0.0362,395,0.0072,0.0008,0.0323
400,0.0143,0.0004,0.0679,400,0.0191,0.0020,0.0860
405,0.0232,0.0006,0.1102,405,0.0434,0.0045,0.1971
410,0.0435,0.0012,0.2074,410,0.0847,0.0088,0.3894
415,0.0776,0.0022,0.3713,415,0.1406,0.0145,0.6568
420,0.1344,0.0040,0.6456,420,0.2045,0.0214,0.9725
425,0.2148,0.0073,1.0391,425,0.2647,0.0295,1.2825
430,0.2839,0.0116,1.3856,430,0.3147,0.0387,1.5535
435,0.3285,0.0618,1.6230,435,0.3577,0.0496,1.7985
440,0.3483,0.0230,1.7471,440,0.3837,0.0621,1.9673
445,0.3481,0.0298,1.7826,445,0.3687,0.0747,2.0273
450,0.3362,0.0380,1.7721,450,0.3707,0.0895,1.9948
455,0.3187,0.0480,1.7441,455,0.3430,0.1063,1.9007
460,0.2908,0.0600,1.6692,460,0.3023,0.1282,1.7454
465,0.2511,0.0739,1.5281,465,0.2541,0.1528,1.5549
470,0.1954,0.0910,1.2876,470,0.1956,0.1852,1.3176
475,0.1421,0.1126,1.0419,475,0.1323,0.2199,1.0302
480,0.0956,0.1390,0.8130,480,0.0805,0.2536,0.7721
485,0.0580,0.1693,0.6162,485,0.0411,0.2977,0.5701
490,0.0320,0.2080,0.4652,490,0.0162,0.3391,0.4153
495,0.0147,0.2586,0.3533,495,0.0051,0.3954,0.3024
500,0.0049,0.3230,0.2720,500,0.0038,0.4608,0.2185
505,0.0024,0.4073,0.2123,505,0.0154,0.5314,0.1592
510,0.0093,0.5030,0.1582,510,0.0375,0.6067,0.1120
515,0.0291,0.6082,0.1117,515,0.0714,0.6857,0.0822
520,0.0633,0.7100,0.0782,520,0.1177,0.7618,0.0607
525,0.1096,0.7932,0.0573,525,0.1730,0.8233,0.0431
530,0.1655,0.8620,0.0422,530,0.2365,0.8752,0.0305
535,0.2257,0.9149,0.0298,535,0.3042,0.9238,0.0206
540,0.2904,0.9540,0.0203,540,0.3768,0.9620,0.0137
545,0.3597,0.9803,0.0134,545,0.4516,0.9822,0.0079
550,0.4334,0.9950,0.0087,550,0.5298,0.9918,0.0040
555,0.5121,1.0000,0.0057,555,0.6161,0.9991,0.0011
560,0.5945,0.9950,0.0039,560,0.7052,0.9973,0.0000
565,0.6784,0.9786,0.0027,565,0.7938,0.9824,0.0000
570,0.7621,0.9520,0.0021,570,0.8787,0.9556,0.0000
575,0.8425,0.9154,0.0018,575,0.9512,0.9152,0.0000
580,0.9163,0.8700,0.0017,580,1.0142,0.8689,0.0000
585,0.9786,0.8163,0.0014,585,1.0743,0.8526,0.0000
590,1.0263,0.7570,0.0011,590,1.1185,0.7774,0.0000
595,1.0567,0.6949,0.0010,595,1.1343,0.7204,0.0000
600,1.0622,0.6310,0.0008,600,1.1240,0.6583,0.0000
605,1.0456,0.5668,0.0006,605,1.0891,0.5939,0.0000
610,1.0026,0.5030,0.0003,610,1.0305,0.5280,0.0000
615,0.9384,0.4412,0.0002,615,0.9507,0.4618,0.0000
620,0.8544,0.3810,0.0002,620,0.8563,0.3981,0.0000
625,0.7514,0.3210,0.0001,625,0.7549,0.3396,0.0000
630,0.6424,0.2650,0.0000,630,0.6475,0.2835,0.0000
635,0.5419,0.2170,0.0000,635,0.5351,0.2283,0.0000
640,0.4479,0.1750,0.0000,640,0.4316,0.1798,0.0000
645,0.3608,0.1382,0.0000,645,0.3437,0.1402,0.0000
650,0.2835,0.1070,0.0000,650,0.2683,0.1076,0.0000
655,0.2187,0.0816,0.0000,655,0.2043,0.0812,0.0000
660,0.1649,0.0610,0.0000,660,0.1526,0.0603,0.0000
665,0.1212,0.0446,0.0000,665,0.1122,0.0441,0.0000
670,0.0874,0.0320,0.0000,670,0.0813,0.0318,0.0000
675,0.0636,0.0232,0.0000,675,0.0579,0.0226,0.0000
680,0.0468,0.0170,0.0000,680,0.0409,0.0159,0.0000
685,0.0329,0.0119,0.0000,685,0.0286,0.0111,0.0000
690,0.0227,0.0082,0.0000,690,0.0199,0.0077,0.0000
695,0.0158,0.0057,0.0000,695,0.0318,0.0054,0.0000
700,0.0114,0.0041,0.0000,700,0.0096,0.0037,0.0000
705,0.0081,0.0029,0.0000,705,0.0066,0.0026,0.0000
710,0.0058,0.0021,0.0000,710,0.0046,0.0018,0.0000
715,0.0041,0.0015,0.0000,715,0.0031,0.0012,0.0000
720,0.0029,0.0010,0.0000,720,0.0022,0.0008,0.0000
725,0.0020,0.0007,0.0000,725,0.0015,0.0006,0.0000
730,0.0014,0.0005,0.0000,730,0.0010,0.0004,0.0000
735,0.0010,0.0004,0.0000,735,0.0007,0.0003,0.0000
740,0.0007,0.0002,0.0000,740,0.0005,0.0002,0.0000
745,0.0005,0.0002,0.0000,745,0.0004,0.0001,0.0000
750,0.0003,0.0001,0.0000,750,0.0003,0.0001,0.0000
755,0.0002,0.0001,0.0000,755,0.0001,0.0001,0.0000
760,0.0002,0.0001,0.0000,760,0.0001,0.0000,0.0000
765,0.0002,0.0001,0.0000,765,0.0001,0.0000,0.0000
770,0.0001,0.0000,0.0000,770,0.0001,0.0000,0.0000
775,0.0001,0.0000,0.0000,775,0.0000,0.0000,0.0000
780,0.0000,0.0000,0.0000,780,0.0000,0.0000,0.0000